,Avg. Wages (Annual),Avg. Work Hours (Annual),COU,Confidence in national government,Country,Delivery Quality,Democratic Quality,Freedom to make life choices,GDP (constant 2010 US$),Healthy life expectancy at birth,Happiness Index,Log GDP per capita,Negative affect,Perceptions of corruption,Population density,Positive affect,Probability of dying at age 5-14,Social support,Standard deviation of ladder,Year,Gini household income
21,54477.2274,1420.0,NLD,0.636186302,Netherlands,1.856004,1.195659637,0.921448231,846555000000.0,71.40000153,7.501875877000001,10.72600937,0.206079304,0.398591846,492.5998814,0.8532338140000001,0.9,0.956536889,1.336109757,2010,0.464674622
22,38802.78948,1755.0,NZL,0.6391351820000001,New Zealand,1.959680557,1.3719973559999998,0.917752504,146584000000.0,72.0,7.223756312999999,10.37720966,0.234758481,0.32074818,16.52310964,0.84723419,1.2,0.975642204,1.686340332,2010,0.426387578
23,23652.32651,1834.0,POL,0.333801061,Poland,0.700623572,1.02746582,0.794900477,479258000000.0,67.30000305,5.887029648,9.98831749,0.234237015,0.904697299,124.2092007,0.736897647,1.4,0.95506531,1.935959458,2010,0.392158389
24,27080.30185,1735.0,PRT,0.26326957300000003,Portugal,0.969256222,0.912445068,0.721036375,238303000000.0,70.80000305,5.094525814,10.21238518,0.265107363,0.947879434,115.4394585,0.741612136,1.2,0.863906741,2.0685172080000003,2010,0.438607901
25,35473.81452,1680.1,SVN,0.331916302,Slovenia,0.9297418,0.957573533,0.8955224159999999,48013606745.0,69.19999695,6.082555294,10.26389885,0.295366138,0.844790697,101.6858269,0.67081368,1.0,0.917203367,2.168138504,2010,0.3676636820000001
26,40175.42479,1494.0,SWE,0.602851212,Sweden,1.973138332,1.318448305,0.904699981,488909000000.0,71.90000153,7.496018887000001,10.66761875,0.20011203,0.253086656,22.85452552,0.8330332640000001,0.9,0.97024262,1.593267798,2010,0.309502602
27,59476.63603,1773.0,USA,0.418275833,United States,1.4783297780000002,0.7860048409999999,0.828044355,14992100000000.0,68.69999695,7.16361618,10.80718327,0.231052637,0.6895825859999999,33.81566442,0.860642135,1.3,0.926158726,2.182073832,2010,0.739406407
28,53905.77401,1699.92,AUS,0.5307866929999999,Australia,1.835443974,1.1947155,0.944586456,1172310000000.0,72.30000305,7.405616283,10.64290237,0.195323676,0.381771743,2.90798641,0.8158602709999999,0.0,0.967029214,1.775903463,2011,0.431181312
29,49578.9147,1562.0,AUT,0.406920105,Austria,1.5584615469999998,1.297982693,0.939355612,403347000000.0,71.54000092,7.470512867,10.70218182,0.14523755,0.702721,101.6417364,0.7894708509999999,0.0,0.944156826,1.848879695,2011,0.34694165
30,51204.9434,1560.0,BEL,0.289129466,Belgium,1.472870708,1.139849305,0.880153596,492244000000.0,70.91999817,7.111363888,10.6273756,0.225056365,0.711043894,364.5397622,0.834544539,0.0,0.936955452,1.62850821,2011,0.447315395
31,46203.40255,1713.0,CAN,0.553290546,Canada,1.795956492,1.228660107,0.950925291,1664150000000.0,72.36000061,7.4260535239999985,10.63502026,0.247728661,0.432991534,3.776625307,0.88138485,0.0,0.921669245,1.819455624,2011,0.961435318
32,25106.35365,2047.0,CHL,0.322867334,Chile,1.400258541,0.763231277,0.700734138,231892000000.0,69.04000092,6.526334763,9.925136566,0.316876173,0.7527555229999999,23.07009823,0.803743482,0.0,0.819078863,2.067713022,2011,0.495457828
33,23101.99456,1806.0,CZE,0.206286699,Czech Republic,0.877707362,1.065891027,0.787180007,211166000000.0,68.23999786,6.331490992999999,10.26804066,0.252808869,0.949787855,135.8892802,0.600925982,0.0,0.91351074,1.932131648,2011,0.269167125
34,45209.41817,1392.8,DEU,0.4245831370000001,Germany,1.617307305,1.095714569,0.906293273,3542160000000.0,70.98000336,6.6213121410000015,10.6617794,0.165199533,0.677172124,230.3046333,0.7936662440000001,0.0,0.947236657,1.850586772,2011,0.434343398
35,51993.25884,1437.0,DNK,0.471823335,Denmark,2.083353519,1.325999975,0.934760153,326300000000.0,70.62000275,7.78823185,10.70107079,0.174883381,0.220043078,131.2885223,0.7694360020000001,0.0,0.961736143,1.500663996,2011,0.61589241
36,40452.8193,1715.5,ESP,0.30866271300000003,Spain,1.098813653,0.553485274,0.8186509009999999,1417320000000.0,73.01999664,6.518249035,10.37562275,0.356101543,0.845543444,93.50783588,0.737269402,0.0,0.944443703,1.955990791,2011,0.414737731
37,20320.64366,1852.0,EST,0.417540222,Estonia,1.176006198,0.872383595,0.7352253790000001,20971721297.0,66.95999908,5.486819744,10.10818481,0.205158427,0.68678391,31.31490918,0.651386082,0.0,0.908712626,1.951516151,2011,0.381159127
38,43684.94029,1587.0,FIN,0.565402389,Finland,2.052244186,1.450511217,0.936448395,254170000000.0,70.63999939,7.3542251589999985,10.6135788,0.20523864,0.319593191,17.73099477,0.772944152,0.0,0.937856853,1.613047361,2011,0.458035171
39,42370.29756,1546.0,FRA,0.375089258,France,1.374962091,0.8868305679999999,0.903366625,2700550000000.0,72.40000153,6.959185122999999,10.53051186,0.28099477300000003,0.626624525,119.335112,0.780809402,0.0,0.92128557,1.681088209,2011,0.450647593
40,44375.68743,1518.0,GBR,0.467890024,United Kingdom,1.6202971940000002,0.824559629,0.8997744320000001,2493240000000.0,71.37999725,6.8692488670000005,10.50802135,0.17390841199999998,0.437595308,261.4761212,0.844498098,0.0,0.94871068,1.91026938,2011,0.669811308
41,29445.28719,1949.0,GRC,0.17515121399999994,Greece,0.370681077,0.360879898,0.5281259420000001,272022000000.0,71.55999756,5.372039795,10.17127228,0.322790802,0.941152513,86.1512723,0.591371894,0.0,0.85155499,2.212227583,2011,0.325478792
42,21604.24091,1769.9,HUN,0.35979417,Hungary,0.717952192,0.790113568,0.631100118,133093000000.0,65.76000214,4.917602539,10.03632164,0.304519564,0.939908028,110.1483155,0.642114282,0.0,0.893662214,2.09452486,2011,0.320391357
43,48764.65687,1702.0,IRL,0.529104173,Ireland,1.5939091440000002,1.127179742,0.952034354,230400000000.0,71.59999847,7.006904125,10.71768761,0.19030945,0.589912653,66.484018,0.86522454,0.0,0.977377594,1.888444901,2011,0.502658725
44,35274.91537,1947.24,ISR,0.271090537,Israel,1.119241357,-0.27400425100000003,0.722269237,245344000000.0,72.45999908,7.433147907,10.32739449,0.384475023,0.891295373,358.8632163000001,0.7379072309999999,0.0,0.8926965590000001,1.823536634,2011,0.285089433
45,38438.74635,1773.3,ITA,0.25955969100000004,Italy,0.435912699,0.70651567,0.567738414,2137310000000.0,72.83999634,6.057086468,10.50087643,0.265567929,0.933460951,201.8747841,0.6583942770000001,0.0,0.913309336,1.630717635,2011,0.32957381
46,41082.06978,1728.0,JPN,0.231063634,Japan,1.356333971,1.033112645,0.814396441,5693520000000.0,73.98000336,6.2627935410000015,10.48499584,0.181055471,0.733798981,350.6549080000001,0.7757174370000001,0.0,0.916703701,1.987437367,2011,0.373215824
47,19367.18179,1621.0,LTU,0.18108657,Lithuania,0.684298992,0.765863121,0.5657972689999999,39363759100.0,64.69999695,5.43243742,10.03689575,0.274636686,0.963511646,48.31533087,0.5695334670000001,0.0,0.911411285,1.837926865,2011,0.31764403
48,61213.34102000001,1515.0,LUX,0.7706866859999999,Luxembourg,1.90174973,1.4609830380000002,0.961830735,54563666562.0,71.87999725,7.101400375,11.42959881,0.200136617,0.3881706,213.3115226,0.8364585640000001,0.0,0.934090614,1.565813184,2011,0.358263284
49,17541.35961,1753.0,LVA,0.107237339,Latvia,0.672904313,0.5283887389999999,0.56446445,25273331011.0,64.86000061,4.966811657,9.892091751,0.221713215,0.9342556,33.11429260000001,0.563278019,0.0,0.836042464,1.912062287,2011,0.333452344
50,16328.23664,2121.0,MEX,0.383446395,Mexico,-0.090883285,-0.273038357,0.831368089,1096550000000.0,66.68000031,6.909515381,9.68342495,0.227555886,0.6975802179999999,61.26187248,0.7900987270000001,0.0,0.824064076,2.328690529,2011,0.471575677
51,54140.29075,1420.0,NLD,0.603366792,Netherlands,1.885704398,1.325339317,0.92543155,859687000000.0,71.51999664,7.5637979510000015,10.73784447,0.181386188,0.359395891,495.04964410000014,0.8627232309999999,0.0,0.938396096,1.293510556,2011,0.446540862
52,38803.58733,1746.0,NZL,0.635153055,New Zealand,2.0125904080000003,1.477903485,0.934768736,150535000000.0,72.12000275,7.190638065,10.39618587,0.210149646,0.269330204,16.64957654,0.863912702,0.0,0.953649879,1.710960627,2011,0.398480445
53,23654.20807,1829.0,POL,0.27237618,Poland,0.718040705,1.049845338,0.868148923,503303000000.0,67.45999908,5.646204947999999,10.03673458,0.22381022600000006,0.907953143,124.2962969,0.725359917,0.0,0.904578626,1.960481882,2011,0.367741227
54,26436.50017,1714.0,PRT,0.20997645,Portugal,0.927496254,0.924824893,0.875092566,233950000000.0,71.0,5.219997883,10.19541836,0.279200882,0.961977124,115.2697893,0.725109041,0.0,0.8559606670000001,2.027334213,2011,0.392445087
55,35340.76447,1663.2,SVN,0.181583047,Slovenia,0.922107577,1.013063908,0.907440901,48325391228.0,69.40000153,6.035964012000001,10.26829433,0.285320938,0.8931338190000001,101.8982937,0.651520729,0.0,0.931166053,2.189199686,2011,0.3831422920000001
56,40680.56341,1491.0,SWE,0.638707519,Sweden,2.000473976,1.421821833,0.941115439,502008000000.0,71.98000336,7.382232189,10.68636227,0.179151982,0.268513024,23.02776478,0.8145614859999999,0.0,0.920521259,1.580353856,2011,0.420406282
57,59562.47469,1780.0,USA,0.382531583,United States,1.462400675,0.859106541,0.863202393,15224600000000.0,68.68000031,7.115138531,10.81564426,0.27337852100000004,0.6969257590000001,34.06206439,0.836360335,0.0,0.921705008,1.94597578,2011,0.612989604
58,54226.18947999999,1692.55,AUS,0.420419186,Australia,1.79015696,1.248593807,0.935146272,1217930000000.0,72.40000153,7.195585727999999,10.66322899,0.214396909,0.368251741,2.95920037,0.810741782,0.0,0.944599032,1.761226296,2012,0.406056434
59,49835.11427,1540.0,AUT,0.376573861,Austria,1.586992741,1.39467001,0.919703901,406092000000.0,71.68000031,7.400688647999999,10.70440388,0.15667499599999998,0.770585775,102.1148654,0.8222477440000001,0.0,0.945142388,1.7226686480000002,2012,0.323470145
60,51550.58104,1560.0,BEL,0.44011718,Belgium,1.466563344,1.136510849,0.8552666309999999,493399000000.0,71.04000092,6.935122012999999,10.62246037,0.238276809,0.7575725320000001,366.8075297,0.820485771,0.0,0.92711705,1.834067941,2012,0.327320158
61,47275.53082,1722.0,CAN,0.523448169,Canada,1.792761922,1.275260806,0.917961121,1693190000000.0,72.51999664,7.415144444,10.64052105,0.229332089,0.4656018320000001,3.821466628,0.8567036990000001,0.0,0.948128343,1.77270925,2012,0.884413838
62,63207.26367000001,1603.2,CHE,0.769940197,Switzerland,1.879036784,1.529229045,0.945428014,599638000000.0,72.77999878,7.776208877999999,10.93577576,0.176007092,0.323240787,202.3701995,0.8591072559999999,0.0,0.94686389,1.564780593,2012,0.308629304
63,25914.9183,2024.0,CHL,0.343267798,Chile,1.444172382,0.7040236590000001,0.7336109279999999,244226000000.0,69.18000031,6.599128723,9.967881203,0.287592113,0.7821174259999999,23.2804308,0.815391183,0.0,0.8552355770000001,2.12383008,2012,0.466741949
64,23089.6502,1776.0,CZE,0.169811338,Czech Republic,0.825533271,1.012242913,0.739808738,209477000000.0,68.37999725,6.3341493610000015,10.25861073,0.256508142,0.956799686,136.0971773,0.609040797,0.0,0.91242677,2.028648853,2012,0.288669348
65,45725.15818,1375.0,DEU,0.5169281960000001,Germany,1.656006575,1.084679604,0.904440463,3559590000000.0,71.05999756,6.7023620610000005,10.66480923,0.169576168,0.67923671,230.7506255,0.803739309,0.0,0.926406622,1.830847383,2012,0.405439347
66,51923.10356,1423.0,DNK,0.534252763,Denmark,2.01157999,1.29451251,0.932627916,327039000000.0,70.83999634,7.519909382000001,10.69957066,0.208569512,0.187407613,133.1643725,0.7737635970000001,0.0,0.951437175,1.702373385,2012,0.365274489
67,39301.60485,1701.2,ESP,0.339146554,Spain,1.0666815040000002,0.5173311829999999,0.7545861009999999,1375820000000.0,73.13999939,6.290690422000001,10.34525871,0.366474479,0.8435930009999999,93.50683713,0.749276638,0.0,0.937023342,2.038798571,2012,0.359645665
68,21161.9214,1820.0,EST,0.272975951,Estonia,1.156192064,0.87419492,0.696825743,21875027648.0,67.22000122,5.363927841000001,10.15393448,0.198966742,0.7928527,31.20301958,0.647360325,0.0,0.889454544,1.961893439,2012,0.381732076
