Dataset,COU,Country,Year,Description,Value,Unit,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality,Delivery Quality,Standard deviation of ladder by country-year,Standard deviation/Mean of ladder by country-year,"GINI index (World Bank estimate), average 2000-16","gini of household income reported in Gallup, by wp5-year","Most people can be trusted, Gallup","Most people can be trusted, WVS round 1981-1984","Most people can be trusted, WVS round 1989-1993","Most people can be trusted, WVS round 1994-1998","Most people can be trusted, WVS round 1999-2004","Most people can be trusted, WVS round 2005-2009","Most people can be trusted, WVS round 2010-2014",GDP (constant 2010 US$),GINI index (World Bank estimate),"Literacy rate, adult total (% of people ages 15 and above)",Population density (people per sq. km of land area),"Probability of dying at age 5-14 years (per 1,000 children age 5)"
Avg. Wages (Annual),AUS,Australia,2014,In 2018 constant prices at 2018 USD PPPs,54391.75744,USD,7.288550377000001,10.68160057,0.92379874,72.59999847,0.9229322670000001,0.31003502,0.44202137,0.775209963,0.245304301,0.464676231,1.196954012,1.81184423,1.7954154009999999,0.24633367399999997,0.34275,0.451516807,,0.478149384,,0.39449206,,0.461379021,0.518140078,1282060000000.0,35.8,0.0,3.055814795,0.0
Mortality Causes,AUS,Australia,2014,All causes of death,153580.0,NBPOPUPC,7.288550377000001,10.68160057,0.92379874,72.59999847,0.9229322670000001,0.31003502,0.44202137,0.775209963,0.245304301,0.464676231,1.196954012,1.81184423,1.7954154009999999,0.24633367399999997,0.34275,0.451516807,,0.478149384,,0.39449206,,0.461379021,0.518140078,1282060000000.0,35.8,0.0,3.055814795,0.0
Avg. Work Hours (Annual),AUS,Australia,2016,Total employment,1673.4,Hours,7.250080109,10.7030983,0.942334235,73.0,0.922315717,0.229792744,0.39854511600000003,0.790868282,0.236085787,0.452731758,1.199453712,1.759352803,1.6988278630000002,0.234318495,0.34275,0.520914137,,0.478149384,,0.39449206,,0.461379021,0.518140078,1349300000000.0,0.0,0.0,3.1449355310000002,0.0
Avg. Wages (Annual),AUS,Australia,2016,In 2018 constant prices at 2018 USD PPPs,53971.597460000005,USD,7.250080109,10.7030983,0.942334235,73.0,0.922315717,0.229792744,0.39854511600000003,0.790868282,0.236085787,0.452731758,1.199453712,1.759352803,1.6988278630000002,0.234318495,0.34275,0.520914137,,0.478149384,,0.39449206,,0.461379021,0.518140078,1349300000000.0,0.0,0.0,3.1449355310000002,0.0
Mortality Causes,AUS,Australia,2016,All causes of death,158504.0,NBPOPUPC,7.250080109,10.7030983,0.942334235,73.0,0.922315717,0.229792744,0.39854511600000003,0.790868282,0.236085787,0.452731758,1.199453712,1.759352803,1.6988278630000002,0.234318495,0.34275,0.520914137,,0.478149384,,0.39449206,,0.461379021,0.518140078,1349300000000.0,0.0,0.0,3.1449355310000002,0.0
Avg. Work Hours (Annual),AUS,Australia,2017,Total employment,1674.9,Hours,7.25703764,10.70658112,0.9499578479999999,73.30000305,0.9105501770000001,0.308772951,0.411346525,0.7800788879999999,0.225360975,0.45340696,1.140083551,1.7356719969999999,1.745698929,0.24055255899999997,0.34275,0.428340912,,0.478149384,,0.39449206,,0.461379021,0.518140078,1375720000000.0,0.0,0.0,3.198361419,0.9
Avg. Wages (Annual),AUS,Australia,2017,In 2018 constant prices at 2018 USD PPPs,53507.28546,USD,7.25703764,10.70658112,0.9499578479999999,73.30000305,0.9105501770000001,0.308772951,0.411346525,0.7800788879999999,0.225360975,0.45340696,1.140083551,1.7356719969999999,1.745698929,0.24055255899999997,0.34275,0.428340912,,0.478149384,,0.39449206,,0.461379021,0.518140078,1375720000000.0,0.0,0.0,3.198361419,0.9
Avg. Work Hours (Annual),AUT,Austria,2010,Total employment,1557.0,Hours,7.302678585,10.67674351,0.9141933320000001,71.40000153,0.8959797620000001,0.129111528,0.546144843,0.8147191999999999,0.155792549,0.48644661899999997,1.291469574,1.6700849530000001,1.7532476190000001,0.240082815,0.302692308,0.367440253,0.30066517,,,,,,,391893000000.0,30.3,0.0,101.2874302,1.0
Avg. Wages (Annual),AUT,Austria,2010,In 2018 constant prices at 2018 USD PPPs,50096.714439999996,USD,7.302678585,10.67674351,0.9141933320000001,71.40000153,0.8959797620000001,0.129111528,0.546144843,0.8147191999999999,0.155792549,0.48644661899999997,1.291469574,1.6700849530000001,1.7532476190000001,0.240082815,0.302692308,0.367440253,0.30066517,,,,,,,391893000000.0,30.3,0.0,101.2874302,1.0
Mortality Causes,AUT,Austria,2010,All causes of death,77199.0,NBPOPUPC,7.302678585,10.67674351,0.9141933320000001,71.40000153,0.8959797620000001,0.129111528,0.546144843,0.8147191999999999,0.155792549,0.48644661899999997,1.291469574,1.6700849530000001,1.7532476190000001,0.240082815,0.302692308,0.367440253,0.30066517,,,,,,,391893000000.0,30.3,0.0,101.2874302,1.0
Avg. Work Hours (Annual),AUT,Austria,2011,Total employment,1562.0,Hours,7.470512867,10.70218182,0.944156826,71.54000092,0.9393556120000001,0.129719824,0.702721,0.7894708509999999,0.14523755,0.406920105,1.297982693,1.5584615469999998,1.848879695,0.24749033199999998,0.302692308,0.34694165,,,,,,,,403347000000.0,30.8,0.0,101.6417364,0.0
Avg. Wages (Annual),AUT,Austria,2011,In 2018 constant prices at 2018 USD PPPs,49578.9147,USD,7.470512867,10.70218182,0.944156826,71.54000092,0.9393556120000001,0.129719824,0.702721,0.7894708509999999,0.14523755,0.406920105,1.297982693,1.5584615469999998,1.848879695,0.24749033199999998,0.302692308,0.34694165,,,,,,,,403347000000.0,30.8,0.0,101.6417364,0.0
Mortality Causes,AUT,Austria,2011,All causes of death,76479.0,NBPOPUPC,7.470512867,10.70218182,0.944156826,71.54000092,0.9393556120000001,0.129719824,0.702721,0.7894708509999999,0.14523755,0.406920105,1.297982693,1.5584615469999998,1.848879695,0.24749033199999998,0.302692308,0.34694165,,,,,,,,403347000000.0,30.8,0.0,101.6417364,0.0
Avg. Work Hours (Annual),AUT,Austria,2012,Total employment,1540.0,Hours,7.400688647999999,10.70440388,0.9451423879999999,71.68000031,0.919703901,0.11593899099999999,0.770585775,0.8222477440000001,0.15667499599999998,0.376573861,1.39467001,1.586992741,1.7226686480000002,0.232771397,0.302692308,0.323470145,,,,,,,,406092000000.0,30.5,0.0,102.11486540000001,0.0
