COU,Country,Year,Avg. Work Hours (Annual),Avg. Wages (Annual),GDP (constant 2010 US$),Population density (people per sq. km of land area),Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality,Delivery Quality,Standard deviation of ladder by country-year,Standard deviation/Mean of ladder by country-year,"gini of household income reported in Gallup, by wp5-year"
AUS,Australia,2010,1699.94,52252.979439999996,1144260000000.0,2.867858584,7.450047016,10.63258171,0.95451957,72.19999695,0.932058573,0.308317155,0.36612740200000005,0.8342362640000001,0.22007320800000002,0.609752893,1.154312849,1.8158979419999999,1.737801909,0.233260527,0.412946343
AUS,Australia,2011,1699.92,53905.77401,1172310000000.0,2.90798641,7.405616283,10.64290237,0.9670292140000001,72.30000305,0.9445864559999999,0.360889763,0.381771743,0.8158602709999999,0.195323676,0.5307866929999999,1.1947155,1.8354439740000001,1.7759034630000001,0.23980495300000002,0.43118131200000004
AUS,Australia,2012,1692.55,54226.18947999999,1217930000000.0,2.95920037,7.195585727999999,10.66322899,0.9445990320000001,72.40000153,0.935146272,0.265168518,0.368251741,0.810741782,0.214396909,0.420419186,1.248593807,1.79015696,1.761226296,0.24476482,0.40605643399999997
AUS,Australia,2013,1689.38,53977.41911,1250080000000.0,3.0105735260000004,7.364169121000001,10.67169762,0.9282051920000001,72.5,0.933379173,0.26027953600000003,0.43153902899999996,0.818835258,0.177142262,0.455871463,1.233743429,1.75117445,1.737719178,0.23596948399999998,0.38120749600000003
AUS,Australia,2014,1683.27,54391.75744,1282060000000.0,3.055814795,7.288550377000001,10.68160057,0.92379874,72.59999847,0.9229322670000001,0.31003502,0.44202137,0.775209963,0.245304301,0.464676231,1.196954012,1.81184423,1.7954154009999999,0.24633367399999997,0.451516807
AUS,Australia,2016,1673.4,53971.597460000005,1349300000000.0,3.1449355310000002,7.250080109,10.7030983,0.942334235,73.0,0.922315717,0.229792744,0.39854511600000003,0.790868282,0.236085787,0.452731758,1.199453712,1.759352803,1.6988278630000002,0.234318495,0.520914137
AUS,Australia,2017,1674.9,53507.28546,1375720000000.0,3.198361419,7.25703764,10.70658112,0.9499578479999999,73.30000305,0.9105501770000001,0.308772951,0.411346525,0.7800788879999999,0.225360975,0.45340696,1.140083551,1.7356719969999999,1.745698929,0.24055255899999997,0.428340912
AUT,Austria,2010,1557.0,50096.714439999996,391893000000.0,101.2874302,7.302678585,10.67674351,0.9141933320000001,71.40000153,0.8959797620000001,0.129111528,0.546144843,0.8147191999999999,0.155792549,0.48644661899999997,1.291469574,1.6700849530000001,1.7532476190000001,0.240082815,0.367440253
AUT,Austria,2011,1562.0,49578.9147,403347000000.0,101.6417364,7.470512867,10.70218182,0.944156826,71.54000092,0.9393556120000001,0.129719824,0.702721,0.7894708509999999,0.14523755,0.406920105,1.297982693,1.5584615469999998,1.848879695,0.24749033199999998,0.34694165
AUT,Austria,2012,1540.0,49835.11427,406092000000.0,102.11486540000001,7.400688647999999,10.70440388,0.9451423879999999,71.68000031,0.919703901,0.11593899099999999,0.770585775,0.8222477440000001,0.15667499599999998,0.376573861,1.39467001,1.586992741,1.7226686480000002,0.232771397,0.323470145
AUT,Austria,2013,1525.0,49896.49234,406195000000.0,102.7471302,7.498802662,10.6987648,0.9498091940000001,71.81999969,0.921734452,0.166400507,0.6789368990000001,0.787312806,0.162603319,0.417099237,1.410333991,1.620333314,1.861462116,0.248234585,0.359079063
AUT,Austria,2014,1516.0,50082.84861,408881000000.0,103.56332420000001,6.9499998089999995,10.69920254,0.8989204759999999,71.95999908,0.8850268720000001,0.11564018599999999,0.566931307,0.7796927690000001,0.17014955,0.40769541299999995,1.331010818,1.6218787430000001,1.836291671,0.264214635,0.344870776
AUT,Austria,2016,1512.0,50906.020280000004,421989000000.0,105.86949340000001,7.048071861,10.70244312,0.9263185859999999,72.40000153,0.888513982,0.078159958,0.52364099,0.755902588,0.19742384600000001,0.43263822799999996,1.12349689,1.579037547,1.7044001819999999,0.241825029,0.292294294
AUT,Austria,2017,1511.0,50851.39713,432754000000.0,106.6074453,7.293727875,10.72407532,0.9062178129999999,72.69999695,0.8900305629999999,0.131114438,0.518303812,0.747568727,0.18026872,0.43590793,1.189480543,1.5593127009999999,1.5610619780000001,0.21402800100000002,0.322941631
