COU,Country,Avg. Work Hours (Annual),Avg. Wages (Annual),Mortality Causes,GDP (constant 2010 US$),GINI index (World Bank estimate),"Literacy rate, adult total (% of people ages 15 and above)",Population density (people per sq. km of land area),"Probability of dying at age 5-14 years (per 1,000 children age 5)",Year
AUS,Australia,1692.55,54226.18947999999,298148.49999999994,1217930000000.0,0.0,0.0,2.95920037,0.0,2012
AUT,Austria,1540.0,49835.11427,164068.4,406092000000.0,30.5,0.0,102.11486540000001,0.0,2012
BEL,Belgium,1560.0,51550.58104,223587.00000000003,493399000000.0,27.5,0.0,366.8075297,0.0,2012
CAN,Canada,1722.0,47275.53082,497379.39999999997,1693190000000.0,0.0,0.0,3.821466628,0.0,2012
CHE,Switzerland,1603.2,63207.26367000001,132810.69999999998,599638000000.0,31.6,0.0,202.3701995,0.0,2012
CHL,Chile,2024.0,25914.9183,201651.49999999997,244226000000.0,0.0,0.0,23.2804308,0.0,2012
CZE,Czech Republic,1776.0,23089.6502,222527.8,209477000000.0,26.1,0.0,136.0971773,0.0,2012
DEU,Germany,1375.0,45725.15818,1744787.5999999999,3559590000000.0,0.0,0.0,230.75062549999998,0.0,2012
DNK,Denmark,1423.0,51923.10356,109369.5,327039000000.0,27.8,0.0,133.1643725,0.0,2012
ESP,Spain,1701.2,39301.60485,810612.5,1375820000000.0,35.4,97.89453888,93.50683713,0.0,2012
EST,Estonia,1820.0,21161.9214,37680.7,21875027648.0,32.9,0.0,31.20301958,0.0,2012
FIN,Finland,1575.0,43715.15615,108759.1,250545000000.0,27.1,0.0,17.81556155,0.0,2012
FRA,France,1541.0,42654.36826,1121575.0,2709010000000.0,33.1,0.0,119.91407279999999,0.0,2012
GBR,United Kingdom,1531.0,44006.8491,1143086.2,2529320000000.0,32.3,0.0,263.3005415,0.0,2012
GRC,Greece,1966.0,28108.0392,238943.5,252163000000.0,36.2,0.0,85.68666408,0.0,2012
HUN,Hungary,1750.0,20852.274080000003,266496.5,130922000000.0,30.8,0.0,109.5809345,0.0,2012
IRL,Ireland,1707.0,48153.35402,62716.1,230820000000.0,33.2,0.0,66.76633764,0.0,2012
ISL,Iceland,1510.0,48049.69794,7776.700000000001,14121903068.0,26.8,0.0,3.199162095,0.0,2012
ISR,Israel,1918.77,33166.65214,87511.59999999999,250536000000.0,41.4,0.0,365.54990760000004,0.0,2012
ITA,Italy,1734.2,37279.12066,1232307.2,2077060000000.0,35.2,0.0,202.41965390000001,0.0,2012
JPN,Japan,1745.0,40380.393280000004,2517567.5,5778640000000.0,0.0,0.0,350.09052010000005,0.0,2012
LTU,Lithuania,1620.0,19671.09994,89747.69999999998,40870192058.0,35.1,0.0,47.67165087,0.0,2012
LUX,Luxembourg,1508.0,60707.10622,11909.699999999999,54371319074.0,34.3,0.0,218.4962963,0.0,2012
LVA,Latvia,1738.0,18272.87632,66284.9,26293015996.0,35.2,0.0,32.71661306,0.0,2012
MEX,Mexico,2120.0,16050.29823,1179142.5,1136490000000.0,45.4,94.22840118,62.15607757,0.0,2012
NLD,Netherlands,1411.0,54362.195470000006,286525.39999999997,850829000000.0,27.6,0.0,496.8849941000001,0.0,2012
NOR,Norway,1419.7,49465.068510000005,88656.2,445095000000.0,25.7,0.0,13.74033034,0.0,2012
NZL,New Zealand,1734.0,39621.7161,64812.3,154298000000.0,0.0,0.0,16.74110364,0.0,2012
POL,Poland,1824.0,23445.50559,775779.1,511396000000.0,32.4,0.0,124.3000588,0.0,2012
PRT,Portugal,1698.0,25294.18881,221526.4,224526000000.0,36.0,0.0,114.8034065,0.0,2012
SVK,Slovak Republic,1789.0,21916.80509,111266.8,93549112293.0,26.1,0.0,112.4517389,0.0,2012
SVN,Slovenia,1644.6,34227.66164,43893.299999999996,47035305258.0,25.6,0.0,102.1140519,0.0,2012
SWE,Sweden,1478.0,41581.03568,189166.8,500510000000.0,27.6,0.0,23.36960279,0.0,2012
USA,United States,1783.0,60047.20521,5091524.5,15567000000000.0,0.0,0.0,34.31286833,0.0,2012
