,Avg. Wages (Annual),Avg. Work Hours (Annual),Confidence in national government,Democratic Quality,Freedom to make life choices,GDP (constant 2010 US$),Healthy life expectancy at birth,Happiness Index,Log GDP per capita,Perceptions of corruption,Population density (people per sq. km of land area),"Probability of dying at age 5-14 years (per 1,000 children age 5)",Social support,"gini of household income reported in Gallup, by wp5-year"
176,22295,1708,0,0,0,28247565849,65,5,10,0,31,1,0,0
177,16231,2140,0,0,0,1223120000000,67,6,9,0,64,2,0,0
178,54892,1426,0,1,0,878701000000,72,7,10,0,502,0,0,0
179,50994,1423,0,1,0,467661000000,72,7,11,0,14,0,0,0
180,24726,1834,0,0,0,556287000000,68,6,10,0,124,1,0,0
181,25307,1722,0,1,0,228052000000,71,5,10,0,113,0,0,0
182,34933,1687,0,0,0,48969999339,70,5,10,0,102,0,0,0
183,43159,1471,0,1,0,543061000000,72,7,10,0,24,0,0,0
184,62106,1785,0,0,0,16710500000000,68,6,10,0,35,1,0,0
185,53971,1673,0,1,0,1349300000000,73,7,10,0,3,0,0,0
186,50906,1512,0,1,0,421989000000,72,7,10,0,105,0,0,0
187,51951,1545,0,0,0,516766000000,71,6,10,0,374,0,0,0
188,64063,1589,0,1,0,644197000000,73,7,10,0,211,0,0,0
189,27655,1974,0,0,0,267904000000,69,6,10,0,24,0,0,0
190,24778,1779,0,1,0,231018000000,69,6,10,0,136,0,0,0
191,48709,1362,0,1,0,3801860000000,71,6,10,0,235,0,0,0
192,39860,1701,0,0,0,1466070000000,73,6,10,0,93,0,0,0
193,24691,1791,0,0,0,24194442664,68,5,10,0,30,0,0,0
194,43968,1560,0,1,0,255195000000,71,7,10,0,18,0,0,0
195,44465,1545,0,0,0,2768240000000,71,6,10,0,271,0,0,0
196,26506,1942,0,0,0,244251000000,72,5,10,0,83,0,0,0
197,21077,1760,0,0,0,147526000000,66,5,10,0,108,0,0,0
198,58131,1494,0,1,0,16835179721,73,7,10,0,3,0,0,0
199,35701,1922,0,0,0,289193000000,72,7,10,0,394,0,0,0
200,40304,1714,0,0,0,6052670000000,74,5,10,0,348,0,0,0
201,23933,1644,0,0,0,45732868896,66,5,10,0,45,0,0,0
202,64453,1513,0,1,0,62554580195,72,6,11,0,239,0,0,0
203,16135,2146,0,0,0,1258560000000,67,6,9,0,65,0,0,0
204,55131,1438,0,1,0,897959000000,72,7,10,0,505,0,0,0
205,50207,1424,0,1,0,473214000000,73,7,11,0,14,0,0,0
206,25956,1836,0,0,0,573324000000,68,6,10,0,124,0,0,0
207,25349,1725,0,1,0,232444000000,72,5,10,0,112,0,0,0
208,43735,1482,0,1,0,557637000000,72,7,10,0,24,0,0,0
209,62153,1781,0,0,0,16972300000000,68,6,10,0,35,0,0,0
210,50851,1511,0,1,0,432754000000,72,7,10,0,106,0,0,0
211,25804,1784,0,0,0,241074000000,69,6,10,0,137,0,0,0
212,22492,1741,0,0,0,153629000000,67,6,10,0,108,1,0,0
213,64415,1483,0,1,0,17512773948,73,7,10,0,3,0,0,0
214,25207,1608,0,0,0,47626186104,66,6,10,0,45,1,0,0
