COU,Country,Avg. Work Hours (Annual),Avg. Wages (Annual),Mortality Causes,GDP (constant 2010 US$),GINI index (World Bank estimate),"Literacy rate, adult total (% of people ages 15 and above)",Population density (people per sq. km of land area),"Probability of dying at age 5-14 years (per 1,000 children age 5)",Year
AUS,Australia,1683.27,54391.75744,311105.80000000005,1282060000000.0,35.8,0.0,3.055814795,0.0,2014
AUT,Austria,1516.0,50082.84861,161495.70000000004,408881000000.0,30.5,0.0,103.56332420000001,0.0,2014
BEL,Belgium,1545.0,52514.32761,214591.69999999998,500592000000.0,28.1,0.0,370.180218,0.0,2014
CAN,Canada,1710.0,48717.527760000004,521994.3,1784650000000.0,0.0,0.0,3.907770267,0.0,2014
CHE,Switzerland,1575.3,64284.54003,132020.69999999998,625702000000.0,32.5,0.0,207.2236258,0.0,2014
CHL,Chile,1990.0,26803.54588,208044.30000000002,258594000000.0,0.0,0.0,23.68936005,0.0,2014
CZE,Czech Republic,1777.0,23324.261319999998,217216.4,214124000000.0,25.9,0.0,136.30338,0.0,2014
DEU,Germany,1366.9,47010.04711,1742284.7000000002,3654920000000.0,0.0,0.0,232.1080539,0.0,2014
DNK,Denmark,1414.0,53260.744060000005,107111.0,335436000000.0,28.4,0.0,134.4004525,0.0,2014
ESP,Spain,1694.6,39397.76735,796201.2999999999,1371020000000.0,36.1,98.09371948,92.92273645,0.0,2014
EST,Estonia,1795.0,22570.84161,37568.1,22942757718.0,34.6,0.0,30.24028065,0.0,2014
FIN,Finland,1562.0,43229.09351,110024.9,247075000000.0,26.8,0.0,17.97200303,0.0,2014
FRA,France,1518.0,43308.84587,1093675.0,2750680000000.0,32.3,0.0,121.1126749,0.0,2014
GBR,United Kingdom,1547.0,43782.31312,1145610.4000000001,2657160000000.0,34.0,0.0,267.0737817,0.0,2014
GRC,Greece,1933.0,26803.24237,232879.6,245795000000.0,35.8,0.0,84.50281614,0.0,2014
HUN,Hungary,1751.7,20707.45771,259976.30000000002,139309000000.0,30.9,99.09999847,108.98561799999999,0.0,2014
IRL,Ireland,1731.0,46314.707930000004,62700.5,254491000000.0,31.9,0.0,67.61126433,0.0,2014
ISL,Iceland,1503.0,49471.50415,8021.5,15011601923.0,27.8,0.0,3.2656957610000004,0.0,2014
ISR,Israel,1894.53,33516.041619999996,87951.3,271090000000.0,39.8,0.0,379.65341960000006,0.0,2014
ITA,Italy,1717.1,37481.9106,1202303.0,2043490000000.0,34.7,0.0,206.66736930000002,0.0,2014
JPN,Japan,1729.0,39633.251939999995,2550815.7,5916320000000.0,0.0,0.0,349.1222295,0.0,2014
LTU,Lithuania,1599.0,21367.70885,88232.29999999999,43796470015.0,37.7,0.0,46.80553871,0.0,2014
LUX,Luxembourg,1506.0,63606.706139999995,11660.0,58779842025.0,31.2,0.0,228.93786009999997,0.0,2014
LVA,Latvia,1741.0,20429.452080000003,64334.200000000004,27432357432.0,35.1,0.0,32.06468318,0.0,2014
MEX,Mexico,2134.0,16028.6024,1240165.7,1184180000000.0,45.8,94.55587769,63.90164356,0.0,2014
NLD,Netherlands,1426.0,54260.74479,283161.6,861816000000.0,28.6,0.0,500.5938853999999,0.0,2014
NOR,Norway,1426.9,50749.04262,85229.6,458626000000.0,26.8,0.0,14.06986657,0.0,2014
NZL,New Zealand,1762.0,39419.08318,66601.5,162992000000.0,0.0,0.0,17.12696062,0.0,2014
POL,Poland,1827.0,24195.84838,758866.4,535721000000.0,32.1,0.0,124.1442732,0.0,2014
PRT,Portugal,1714.0,25360.07583,215827.80000000002,223971000000.0,35.6,0.0,113.5417757,0.0,2014
SVK,Slovak Republic,1760.0,22510.86712,108798.59999999999,97554865847.0,26.1,0.0,112.70068640000001,0.0,2014
SVN,Slovenia,1681.9,34282.48437,42895.9,47888250500.0,25.7,99.69999695,102.38232370000001,0.0,2014
SWE,Sweden,1470.0,42444.08578,183045.0,519892000000.0,28.4,0.0,23.80523434,0.0,2014
USA,United States,1784.0,60617.97202000001,5257849.6,16242500000000.0,0.0,0.0,34.80614436,0.0,2014
