COU,Country,GDP (constant 2010 US$),GINI index (World Bank estimate),"Literacy rate, adult total (% of people ages 15 and above)",Population density (people per sq. km of land area),"Probability of dying at age 5-14 years (per 1,000 children age 5)",Year
IRQ,Iraq,138517000000.0,0.0,0.0,70.82957497,6.3,2010
ISL,Iceland,13683689802.0,26.2,0.0,3.172478803,1.0,2010
ISR,Israel,233731000000.0,42.6,0.0,352.2920518,1.1,2010
ITA,Italy,2125060000000.0,34.7,0.0,201.5279017,0.9,2010
JAM,Jamaica,13200286270.0,0.0,0.0,260.13019390000005,3.2,2010
JOR,Jordan,26425379437.0,33.7,92.55104065,80.90099121,4.6,2010
JPN,Japan,5700100000000.0,0.0,0.0,351.30983399999997,0.9,2010
KAZ,Kazakhstan,148047000000.0,28.0,99.78163147,6.045809534,3.9,2010
KEN,Kenya,40000088347.0,0.0,0.0,72.65374425,12.1,2010
KGZ,Kyrgyz Republic,4794357795.0,30.1,0.0,28.40406674,3.3,2010
KHM,Cambodia,11242275199.0,0.0,0.0,81.06016315,8.2,2010
KIR,Kiribati,156120895.2,0.0,0.0,126.7308642,10.3,2010
KNA,St. Kitts and Nevis,766785071.2,0.0,0.0,197.8653846,2.6,2010
KWT,Kuwait,115419000000.0,0.0,94.4690094,168.2425926,2.3,2010
LAO,Lao PDR,7127792630.0,0.0,0.0,27.06357886,17.6,2010
LBN,Lebanon,38419626605.0,0.0,0.0,423.96295210000005,1.5,2010
LBR,Liberia,1998000000.0,0.0,0.0,40.98966985,22.0,2010
LBY,Libya,74773444901.0,0.0,0.0,3.506109551,5.6,2010
LCA,St. Lucia,1382054667.0,0.0,0.0,282.91803280000005,3.0,2010
LIE,Liechtenstein,5082366478.0,0.0,0.0,225.01875,0.0,2010
LKA,Sri Lanka,56725749222.0,0.0,91.18135834,322.09142080000004,3.9,2010
LSO,Lesotho,2361613522.0,54.2,0.0,67.21182477,13.7,2010
LTU,Lithuania,37120517694.0,33.6,0.0,49.4181412,2.2,2010
LUX,Luxembourg,53212476812.0,30.5,0.0,208.6226337,0.6,2010
LVA,Latvia,23757368290.0,35.0,0.0,33.70107648,2.3,2010
MAC,"Macao SAR, China",28123640999.0,0.0,0.0,18079.76414,0.0,2010
MAF,St. Martin (French part),0.0,0.0,0.0,555.7904412,0.0,2010
MAR,Morocco,93216746662.0,0.0,0.0,72.61850549,4.0,2010
MCO,Monaco,5362649007.0,0.0,0.0,18547.0,1.1,2010
MDA,Moldova,5811604052.0,32.1,0.0,124.1693101,2.8,2010
